score,darts_remaining,target_amount,target,target_text
2,1,2,D1,Double One
2,2,2,D1,Double One
2,3,2,D1,Double One
3,1,1,S1,Single One
3,2,1,S1,Single One
3,3,1,S1,Single One
4,1,4,D2,Double Two
4,2,4,D2,Double Two
4,3,4,D2,Double Two
5,1,1,S1,Single One
5,2,1,S1,Single One
5,3,1,S1,Single One
6,1,6,D3,Double Three
6,2,6,D3,Double Three
6,3,6,D3,Double Three
7,1,3,S3,Single Three
7,2,3,S3,Single Three
7,3,3,S3,Single Three
8,1,8,D4,Double Four
8,2,8,D4,Double Four
8,3,8,D4,Double Four
9,1,1,S1,Single One
9,2,1,S1,Single One
9,3,1,S1,Single One
10,1,10,D5,Double Five
10,2,10,D5,Double Five
10,3,10,D5,Double Five
11,1,3,S3,Single Three
11,2,3,S3,Single Three
11,3,3,S3,Single Three
12,1,12,D6,Double Six
12,2,12,D6,Double Six
12,3,12,D6,Double Six
13,1,5,S5,Single Five
13,2,5,S5,Single Five
13,3,5,S5,Single Five
14,1,14,D7,Double Seven
14,2,14,D7,Double Seven
14,3,14,D7,Double Seven
15,1,7,S7,Single Seven
15,2,7,S7,Single Seven
15,3,7,S7,Single Seven
16,1,16,D8,Double Eight
16,2,16,D8,Double Eight
16,3,16,D8,Double Eight
17,1,1,S1,Single One
17,2,1,S1,Single One
17,3,1,S1,Single One
18,1,18,D9,Double Nine
18,2,18,D9,Double Nine
18,3,18,D9,Double Nine
19,1,3,S3,Single Three
19,2,3,S3,Single Three
19,3,3,S3,Single Three
20,1,20,D10,Double Ten
20,2,20,D10,Double Ten
20,3,20,D10,Double Ten
21,1,5,S5,Single Five
21,2,5,S5,Single Five
21,3,5,S5,Single Five
22,1,22,D11,Double Eleven
22,2,22,D11,Double Eleven
22,3,22,D11,Double Eleven
23,1,7,S7,Single Seven
23,2,7,S7,Single Seven
23,3,7,S7,Single Seven
24,1,24,D12,Double Twelve
24,2,24,D12,Double Twelve
24,3,24,D12,Double Twelve
25,1,9,S9,Single Nine
25,2,9,S9,Single Nine
25,3,9,S9,Single Nine
26,1,26,D13,Double Thirteen
26,2,26,D13,Double Thirteen
26,3,26,D13,Double Thirteen
27,1,11,S11,Single Eleven
27,2,11,S11,Single Eleven
27,3,11,S11,Single Eleven
28,1,28,D14,Double Fourteen
28,2,28,D14,Double Fourteen
28,3,28,D14,Double Fourteen
29,1,13,S13,Single Thirteen
